#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
342.9988918,37.7175898,-11.8252894,4.4214677,0.1206033,8.4999659,-0.0000230
343.1988911,37.6625434,-12.0175429,4.4455898,0.1206373,8.4999653,-0.0000248
343.3988905,37.6121489,-12.2110751,4.4697162,0.1206306,8.4999648,-0.0000250
343.5988898,37.5664363,-12.4057723,4.4938389,0.1205885,8.4999642,-0.0000228
343.7988892,37.5254314,-12.6015196,4.5179512,0.1205167,8.4999636,-0.0000165
343.9988885,37.4891557,-12.7982018,4.5420476,0.1204220,8.4999632,-0.0000051
344.1988879,37.4576271,-12.9957032,4.5661239,0.1203121,8.4999631,0.0000075
344.3988872,37.4308599,-13.1939080,4.5901780,0.1201969,8.4999633,0.0000084
344.5988866,37.4088652,-13.3927003,4.6142097,0.1200880,8.4999635,0.0000017
344.7988859,37.3916516,-13.5919645,4.6382215,0.1199996,8.4999635,0.0000644
344.9988853,37.3792256,-13.7915851,4.6622190,0.1199470,8.4999650,0.0002996
345.1988846,37.3715924,-13.9914466,4.6862108,0.1199453,8.4999721,0.0005391
345.3988840,37.3687563,-14.1914337,4.7102076,0.1199958,8.4999848,-0.0000866
345.5988834,37.3707209,-14.3914310,4.7342194,0.1200969,8.4999827,-0.0031076
345.7988827,37.3774891,-14.5913229,4.7582561,0.1202444,8.4999096,-0.0074525
345.9988821,37.3890628,-14.7909933,4.7823244,0.1204061,8.4997343,-0.0093677
346.1988814,37.4054413,-14.9903259,4.8064216,0.1205250,8.4995138,-0.0031463
346.3988808,37.4266195,-15.1892032,4.8305348,0.1205662,8.4994398,0.0164416
346.5988801,37.4525860,-15.3875104,4.8546339,0.1203628,8.4998267,0.0056152
346.7988795,37.4833181,-15.5851294,4.8786923,0.1202454,8.4999588,0.0002121
346.9988788,37.5187858,-15.7819368,4.9026433,0.1190183,8.4999638,0.0000547
347.1988782,37.5589216,-15.9778412,4.9262017,0.1164290,8.4999651,0.0000327
347.3988775,37.6036036,-16.1727643,4.9491215,0.1126831,8.4999659,0.0000190
347.5988769,37.6526561,-16.3666442,4.9710602,0.1065386,8.4999663,0.0000099
347.7988762,37.7058135,-16.5594519,4.9914436,0.0970173,8.4999665,0.0000043
347.9988756,37.7626825,-16.7511935,5.0095535,0.0837458,8.4999666,0.0000009
348.1988750,37.8227422,-16.9419566,5.0247257,0.0678762,8.4999667,-0.0000008
348.3988743,37.8853830,-17.1318848,5.0366720,0.0518970,8.4999666,-0.0000014
348.5988737,37.9499957,-17.3211482,5.0456037,0.0380118,8.4999666,-0.0000012
348.7988730,38.0160512,-17.5099105,5.0520466,0.0270646,8.4999666,-0.0000006
348.9988724,38.0831327,-17.6983095,5.0565829,0.0188629,8.4999666,0.0000002
349.1988717,38.1509286,-17.8864530,5.0597094,0.0128429,8.4999666,0.0000009
349.3988711,38.2192110,-18.0744224,5.0618058,0.0084467,8.4999666,0.0000015
349.5988704,38.2878139,-18.2622779,5.0631507,0.0052382,8.4999666,0.0000020
349.7988698,38.3566163,-18.4500639,5.0639480,0.0029048,8.4999667,0.0000024
349.9988691,38.4255303,-18.6378125,5.0643491,0.0012281,8.4999667,0.0000027
350.1988685,38.4944927,-18.8255465,5.0644685,0.0000546,8.4999668,0.0000030
350.3988678,38.5634589,-19.0132817,5.0643949,-0.0007264,8.4999669,0.0000032
350.5988672,38.6323993,-19.2010280,5.0641978,-0.0011975,8.4999669,0.0000033
350.7988665,38.7012958,-19.3887911,5.0639324,-0.0014230,8.4999670,0.0000033
350.9988659,38.7701395,-19.5765735,5.0636423,-0.0014544,8.4999671,0.0000033
351.1988653,38.8389289,-19.7643748,5.0633618,-0.0013343,8.4999672,0.0000032
351.3988646,38.9076680,-19.9521928,5.0631174,-0.0010986,8.4999672,0.0000031
351.5988640,38.9763656,-20.1400239,5.0629290,-0.0007778,8.4999673,0.0000030
351.7988633,39.0450334,-20.3278635,5.0628109,-0.0003981,8.4999674,0.0000028
351.9988627,39.1136857,-20.5157063,5.0627726,0.0000170,8.4999675,0.0000027
352.1988620,39.1823379,-20.7035468,5.0628191,0.0004495,8.4999675,0.0000025
